,a,b,c,d,(b-a)/2,F(c),F(d)
19,-4.352029585270325,-4.330603377271857,-4.343874242679803,-4.338787481662408,0.010713103999233642,10.18277927460934,10.183273109089686
20,-4.352029585270325,-4.338787481662408,-4.34697153868152,-4.343874242679803,0.006621051803958444,10.182773657690625,10.18277927460934
21,-4.352029585270325,-4.343874242679803,-4.348914513527051,-4.34697153868152,0.004077671295260821,10.182884133679275,10.182773657690625
22,-4.348914513527051,-4.343874242679803,-4.34697153868152,-4.345799459814514,0.002520135423623948,10.182773657690625,10.182749515749993
23,-4.34697153868152,-4.343874242679803,-4.345799459814514,-4.3450573075416905,0.0015486480008584103,10.182749515749993,10.182750766725974
24,-4.34697153868152,-4.3450573075416905,-4.346240365555732,-4.345799459814514,0.0009571155699146239,10.182754844586768,10.182749515749993
25,-4.346240365555732,-4.3450573075416905,-4.345799459814514,-4.34550919666214,0.0005915290070208634,10.182749515749993,10.182748478135672
26,-4.345799459814514,-4.3450573075416905,-4.34550919666214,-4.345340785218884,0.000371076136411741,10.182748478135672,10.182748775313456
27,-4.345799459814514,-4.345340785218884,-4.345624261255245,-4.34550919666214,0.00022933729781504653,10.182748654793034,10.182748478135672
28,-4.345624261255245,-4.345340785218884,-4.34550919666214,-4.345449063710064,0.000141738018180515,10.182748478135672,10.182748508451557
29,-4.345624261255245,-4.345449063710064,-4.345557341574505,-4.34550919666214,8.75987725903471e-05,10.182748514547251,10.182748478135672
30,-4.345557341574505,-4.345449063710064,-4.34550919666214,-4.345490422281111,5.413893222039334e-05,10.182748478135672,10.18274847856188
31,-4.345557341574505,-4.345490422281111,-4.345531780612765,-4.34550919666214,3.345964669687618e-05,10.182748488495873,10.182748478135672
32,-4.345531780612765,-4.345490422281111,-4.34550919666214,-4.345506219798978,2.0679165826820167e-05,10.182748478135672,10.182748477655819
33,-4.34550919666214,-4.345490422281111,-4.345506219798978,-4.34549759347511,9.38719051424286e-06,10.182748477655819,10.182748477430469
34,-4.345506219798978,-4.345490422281111,-4.34549759347511,-4.3454964564116185,7.898758933588823e-06,10.182748477430469,10.182748477529996
35,-4.345506219798978,-4.3454964564116185,-4.345502490507199,-4.34549759347511,4.881693679958943e-06,10.182748477345807,10.182748477430469
36,-4.345506219798978,-4.34549759347511,-4.3455029248279295,-4.345502490507199,4.313161934277332e-06,10.182748477365253,10.182748477345807
37,-4.3455029248279295,-4.34549759347511,-4.345502490507199,-4.3454996298759525,2.6656764098298424e-06,10.182748477345807,10.182748477327452
38,-4.345502490507199,-4.34549759347511,-4.3454996298759525,-4.345499463979766,2.4485160445841814e-06,10.182748477327452,10.18274847733223
39,-4.345502490507199,-4.345499463979766,-4.345501334473595,-4.3454996298759525,1.5132637165571339e-06,10.182748477315451,10.182748477327452
40,-4.345502490507199,-4.3454996298759525,-4.345501397840463,-4.345501334473595,1.4303156232742253e-06,10.18274847731631,10.182748477315451
41,-4.345501397840463,-4.3454996298759525,-4.345501334473595,-4.345500305180053,8.839822553952104e-07,10.182748477315451,10.182748477314606
42,-4.345501334473595,-4.3454996298759525,-4.345500305180053,-4.345500280976,8.522988212966709e-07,10.182748477314606,10.182748477314883
43,-4.345501334473595,-4.345500280976,-4.345500932072279,-4.345500305180053,5.267487974691676e-07,10.182748477312185,10.182748477314606
44,-4.345501334473595,-4.345500305180053,-4.345500941317429,-4.345500932072279,5.14646770977123e-07,10.182748477312217,10.182748477312185
45,,,,,,,
46,-100.0,100.0,-23.606600000000014,23.606600000000014,100.0,130.62400626784273,190.62400626784273
47,-100.0,23.606600000000014,-52.7863578178,-23.606600000000014,61.80330000000001,329.16888789503327,130.62400626784273
48,-52.7863578178,23.606600000000014,-23.606600000000014,-5.5729889187916015,38.196478908900005,130.62400626784273,11.630117405926402
49,-23.606600000000014,23.606600000000014,-5.5729889187916015,5.572715635600005,23.606600000000014,11.630117405926402,67.91786666362458
50,-23.606600000000014,5.572715635600005,-12.461064344616783,-5.5729889187916015,14.58965781780001,54.787562689828974,11.630117405926402
